raw_content,clean_content
"PDRM Pension limit to 40 please.
no more Quality after that.
give opportunity to others????????",pdrm pension limit please no quality give opportunity others
"The irresponsible  3 senior officers must be sacked and terminated to stop the bleed.
By this action can then set a good example to those dont behave and not following the SOP",irresponsible senior officer must sacked terminated stop bleed action set good example dont behave not following sop
"biasa lah wayang police,kesian Zara will never get justice. Al-Fatihah",biasa lah wayang policekesian zara never get justice alfatihah
"The police, especially, the CID isn??t suppose to police the police! They are supposed to be investigating crimes. Please set up the IPCMC, so that this organisation under the purview of Parliament can act accordingly.",police especially cid isnt suppose police police supposed investigating crime please set ipcmc organisation purview parliament act accordingly
"J U S T I C E  f o r  Z A R A..??????
?????? ?????? ????????? ???????? ????????
buli memang berlaku di mana?..
sebagai ibubapa...kita perlu ambil tahu keadaan anak masing?samada mereka ada mengalaminya atau sebaliknya. 
biasanya..pembuli didepan famili bertingkah laku baik & sopan belaka..sebaliknya di belakang famili perangai mereka ibarat puaka.
apalagi mereka yg dari kalangan bangsawan atau vvip..kebanyakkan diterima / dipilih bukan kerana kecermelangan akedemi & akhlak semata..tapi atas dasar berpengaruhnya ibubapa aka cable.
semua suspek yg terlibat perlu direman & diminta memberi keterangan bagi membantu siasatan. termasuk pengetua,guru?,warden, pelajar?& mereka yg berada di kawasan tempat kejadian. 
statement?,keterangan palsu yg dikeluarkan oleh induvidu ?tertentu amat mengelirukan..
mereka?ini lah yg sepatutunya dihukum.
# kpd pihak?yg berkenaan, kerajaan, kementerian berkaitan. 
apa solusi / tindakan,langkah yg diambil & jaminan supaya kes?begini tidak berlaku di masa?akan datang.
Al fatihah utk adik Z A R A ..aamiin ??
. ??????  ??????? ???????????? ?????????
????????? ??????? ????? ????????????? ???????????? ??????????
??????? ?????? ???????????????? ???????? ?????????? ???????????? ???????? ????????? ????????????????????? ????????? ?????????? ??????????? ?????? ???????????? ?????????? ????? ??????????????????..??",j u c e f r z r buli memang berlaku di mana sebagai ibubapakita perlu ambil tahu keadaan anak masingsamada mereka ada mengalaminya atau sebaliknya biasanyapembuli didepan famili bertingkah laku baik sopan belakasebaliknya di belakang famili perangai mereka ibarat puaka apalagi mereka yg dari kalangan bangsawan atau vvipkebanyakkan diterima dipilih bukan kerana kecermelangan akedemi akhlak sematatapi atas dasar berpengaruhnya ibubapa aka cable semua suspek yg terlibat perlu direman diminta memberi keterangan bagi membantu siasatan termasuk pengetuaguruwarden pelajar mereka yg berada di kawasan tempat kejadian statementketerangan palsu yg dikeluarkan oleh induvidu tertentu amat mengelirukan merekaini lah yg sepatutunya dihukum kpd pihakyg berkenaan kerajaan kementerian berkaitan apa solusi tindakanlangkah yg diambil jaminan supaya kesbegini tidak berlaku di masaakan datang al fatihah utk adik z r aamiin
"Polis terlibat , guru terlibat , budak terlibat wajib mesti di hukum seberat berat nya sebagai pengajaran... Sebgai peringatan budak yang lain sekolah bukan untuk budak samseng. Kalu bapak orang kaya tak perlu la tinggal di asrama,",polis terlibat guru terlibat budak terlibat wajib mesti di hukum seberat berat nya sebagai pengajaran sebgai peringatan budak yang lain sekolah bukan untuk budak samseng kalu bapak orang kaya tak perlu la tinggal di asrama
Ahik ahik ahik... reshua shuda maken banya larrr... ahik ahik ahik...,ahik ahik ahik reshua shuda maken banya larrr ahik ahik ahik
"Banyak polis yang tak bersih, faham faham sahaja mahu hidup senang, halal haram tolak kiri!!",banyak polis yang tak bersih faham faham sahaja mahu hidup senang halal haram tolak kiri
Is any of the suspect are related to any senior police officers in Sabah,suspect related senior police officer sabah
Bukan makan suap.... Makan pau kaya,bukan makan suap makan pau kaya
"Respect TS Ayob. Jaga integriti dan kebebasan PDRM. Agensi ini nadi negara. Bila org tak percaya huruhara undang2.
Polis yang rasuah, tidak kompetent, jaga kepentingan tidak sah org atasan, vip perlu diketepi melalui proses jabatan. 
Negara perlu terus diurus maka never give up trying to improve the police force. Its never easy.  Saya dari keluarga polis pangkat rendah je??. My brothers retired clean. Alhamdulillah.",respect t ayob jaga integriti dan kebebasan pdrm agensi ini nadi negara bila org tak percaya huruhara undang polis yang rasuah tidak kompetent jaga kepentingan tidak sah org atasan vip perlu diketepi melalui prose jabatan negara perlu terus diurus maka never give trying improve police force never easy saya dari keluarga polis pangkat rendah je brother retired clean alhamdulillah
"Kes buli budak gara? cerek air panas cepat sja nama? pembunuh kluar. Yg kes ni, wow.... lebih sebulan lgsung tiada crita.

Oh lupa pla. Cucu TYT Sabah terlibat, tu la smua org tutup mulut. Don't worry, padang Mahsyar still waiting all you accomplice.",kes buli budak gara cerek air panas cepat sja nama pembunuh kluar yg kes ni wow lebih sebulan lgsung tiada crita oh lupa pla cucu tyt sabah terlibat tu la smua org tutup mulut dont worry padang mahsyar still waiting accomplice
Terbaik Dato Seri Ayub.. ???,terbaik dato seri ayub
Bila Ayob Khan turun tangan...,bila ayob khan turun tangan
SIAPA SUSPEK?,siapa suspek
Tan Sri Ayob kenakan tindakan jgn tukar atau hukuman ringan saja,tan sri ayob kenakan tindakan jgn tukar atau hukuman ringan saja
Nail them !!!,nail
Sri DatoAyop Khan is best he came down means can catch who still ambil rasau.We like this man.,sri datoayop khan best came mean catch still ambil rasauwe like man
WE WANT ACCOUNTABILITY!!! NO MORE BS,want accountability no b
Cover ni nanti..dah Ada pengalaman..nk buat report pun X guna...skrg ni ssh nk dpt rasuah dia org Cara lain,cover ni nantidah ada pengalamannk buat report pun x gunaskrg ni ssh nk dpt rasuah dia org cara lain
Itu yg dipentingkan..pembunuh sebenar arwah Zara bagaimana...senyap saja,itu yg dipentingkanpembunuh sebenar arwah zara bagaimanasenyap saja
"Non-compliance is serious. If they are found guilty, a HARD slap on the wrist is forthcoming.",noncompliance serious found guilty hard slap wrist forthcoming
